,title,release_year,locations,locations_formatted,formatted_address,lat,long
975,American Graffiti,1973,3355 Geary Blvd.,"3355 Geary Blvd., San Francisco, CA","3355 Geary Blvd, San Francisco, CA 94118, USA",37.7811314,-122.4548989
976,The Presidio,1988,700 Block of Jackson Street (Chinatown),"700 Block of Jackson Street, San Francisco, CA","700 Jackson St, San Francisco, CA 94133, USA",37.7960356,-122.4066767
977,The Dead Pool,1988,New Asia Restaurant (772 Pacific Avenue at Grant),"772 Pacific Avenue at Grant, San Francisco, CA","772 Pacific Ave, San Francisco, CA 94133, USA",37.7970238,-122.4080527
978,The Ten Commandments,1956,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","666 Filbert Street, Washington Square, San Francisco, CA","Washington Square, Filbert St & Stockton St, San Francisco, CA 94133, USA",37.8008473,-122.4099791
979,Interview With The Vampire,1994,Ferry Building,"Ferry Building, San Francisco, CA","San Francisco Ferry Bldg, One Ferry Building, San Francisco, CA 94111, USA",37.7955703,-122.3933208
980,The Dead Pool,1988,20th & De Haro Streets (Potrero Hill),"20th and De Haro Streets, San Francisco, CA","20th St & De Haro St, San Francisco, CA 94107, USA",37.759741,-122.4011214
981,Jade,1995,"Fairmont Hotel (950 Mason Street, Nob Hill)","950 Mason Street, Nob Hill, San Francisco, CA","950 Mason St, San Francisco, CA 94108, USA",37.7924958,-122.4100355
982,The Presidio,1988,Battery Street (The Embarcadero),"Battery Street, San Francisco, CA","Battery St, San Francisco, CA, USA",37.7974664,-122.4008365
983,The Dead Pool,1988,22nd & Wisconsin Streets (Potrero Hill),"22nd and Wisconsin Streets, San Francisco, CA","22nd St & Wisconsin St, San Francisco, CA 94107, USA",37.7573061,-122.3989451
984,The Lady from Shanghai,1947,Mandarin Theatre (1021 Grant Avenue),"1021 Grant Avenue, San Francisco, CA","1021 Grant Ave, San Francisco, CA 94133, USA",37.796333,-122.407032
985,Bullitt,1968,Taylor & Vallejo Streets (Russian Hill),"Taylor and Vallejo Streets, San Francisco, CA","Vallejo St & Taylor St, San Francisco, CA 94133, USA",37.7979757,-122.4137454
986,The Lineup,1958,"Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)","1 Nob Hill Circle, Nob Hill, San Francisco, CA","1 Nob Hill Pl, San Francisco, CA 94108, USA",37.7911185,-122.4101504
987,Sudden Fear,1952,Lombard Street,"Lombard Street, San Francisco, CA","Lombard St, San Francisco, CA, USA",37.8009561,-122.4270201
988,Foul Play,1978,Sutter & Baker Streets,"Sutter and Baker Streets, San Francisco, CA","Sutter St & Baker St, San Francisco, CA 94115, USA",37.7848308,-122.4432077
989,The Dead Pool,1988,1954 Mason Street (North Beach),"1954 Mason Street, San Francisco, CA","1954 Mason St, San Francisco, CA 94133, USA",37.8017281,-122.4127017
990,Alexander's Ragtime Band,1938,San Francisco Bay,"San Francisco Bay, San Francisco, CA","San Francisco Bay, California, USA",37.6909682,-122.3107517
991,Mrs. Doubtfire,1993,Chrissy Field,"Chrissy Field, San Francisco, CA","Crissy Field Ave, San Francisco, CA 94129, USA",37.8036739,-122.4684295
992,The Fan,1996,Candlestick Park (602 Jamestown Ave.),"602 Jamestown Ave., San Francisco, CA","602 Jamestown Ave, San Francisco, CA 94124, USA",37.7135483,-122.3857003
993,"Play it Again, Sam",1972,"The Music Concourse (Martin Luther King, Jr. Drive, Golden Gate Park)","The Music Concourse, San Francisco, CA","San Francisco, CA 94118, USA",37.7698757,-122.4685506
994,Jade,1995,Lombard & Hyde Streets,"Lombard and Hyde Streets, San Francisco, CA","Hyde St & Lombard St, San Francisco, CA 94109, USA",37.8020045,-122.4196371
995,Junior,1994,Hyatt Fisherman's Wharf (555 Northpoint Street),"555 Northpoint Street, San Francisco, CA","555 North Point St, San Francisco, CA 94133, USA",37.8060216,-122.4162944
996,Freebie and the Bean,1974,"Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)","Steinhart Aquarium, San Francisco, CA","55 Music Concourse Dr, San Francisco, CA 94118, USA",37.7698293,-122.466105
997,I Remember Mama,1948,The Ferry Building,"The Ferry Building, San Francisco, CA","San Francisco Ferry Bldg, One Ferry Building, San Francisco, CA 94111, USA",37.7955703,-122.3933208
998,The Lady from Shanghai,1947,Former Hall of Justice (750 Kearny Street at Washington),"750 Kearny Street at Washington, San Francisco, CA","750 Kearny St, San Francisco, CA 94108, USA",37.7951675,-122.4041429
999,Dirty Harry,1971,Hall of Justice (850 Bryant Street),"850 Bryant Street, San Francisco, CA","850 Bryant St, San Francisco, CA 94103, USA",37.7753904,-122.404191
1000,Golden Gate,1994,Bush Street (between Grant & Kearny Streets),"Bush Street, San Francisco, CA","Bush St, San Francisco, CA, USA",37.7883998,-122.4226917
1001,Indiana Jones and the Last Crusade,1989,Administration Building (Treasure Island),"Administration Building, San Francisco, CA","1 Avenue of the Palms, San Francisco, CA 94130, USA",37.8172181,-122.3707037
1002,Time After Time,1979,Marina Green (Marina District),"Marina Green, San Francisco, CA","Marina Green Dr, San Francisco, CA 94123, USA",37.8069514,-122.4393511
1003,Nine Months,1995,Marathon Plaza (303 2nd Street),"303 2nd Street, San Francisco, CA","303 2nd St, San Francisco, CA 94107, USA",37.7852332,-122.3956934
1004,I Remember Mama,1948,Grant Avenue (North Beach),"Grant Avenue, San Francisco, CA","Grant Ave, San Francisco, CA, USA",37.7974867,-122.4069752
1005,The Towering Inferno,1974,Grace Cathedral Episcopal Church (1100 California Street),"1100 California Street, San Francisco, CA","Grace Cathedral, 1100 California St, San Francisco, CA 94108, USA",37.7918593,-122.4133739
1006,By Hook or By Crook,2001,"Royan Hotel (405 Valencia Street, Mission District)","405 Valencia Street, Mission District, San Francisco, CA","405 Valencia St, San Francisco, CA 94103, USA",37.7664055,-122.4218086
1007,The Right Stuff,1983,"American Can Company (Between Illinois & Kentucky, 20th and 22nd Streets)","Between Illinois and Kentucky, 20th and 22nd Streets, San Francisco, CA",NA,37.7598987,-122.3880689
1008,Invasion of the Body Snatchers,1978,Chinatown,"Chinatown, San Francisco, CA","Chinatown, San Francisco, CA, USA",37.7941378,-122.4077914
1009,Invasion of the Body Snatchers,1978,"Bimbo's 365 Club (1025 Columbus Avenue, North Beach)","1025 Columbus Avenue, North Beach, San Francisco, CA","1025 Columbus Ave, San Francisco, CA 94133, USA",37.8037214,-122.4155764
1010,Love & Taxes,2014,The Marsh Theatre (1062 Valencia Street),"1062 Valencia Street, San Francisco, CA","1062 Valencia St, San Francisco, CA 94110, USA",37.7558531,-122.4212321
1011,D.O.A,1950,Westin St. Francis Hotel (335 Powell Street),"335 Powell Street, San Francisco, CA","335 Powell St, San Francisco, CA 94102, USA",37.7878279,-122.4087315
1012,Chu Chu and the Philly Flash,1981,22nd and Carolina Streets (Potrero Hill),"22nd and Carolina Streets, San Francisco, CA","22nd St & Carolina St, San Francisco, CA 94107, USA",37.757247,-122.400008
1013,D.O.A,1950,The Embarcadero/ Ferry Building,"The Embarcadero and  Ferry Building, San Francisco, CA","San Francisco Ferry Bldg, One Ferry Building, San Francisco, CA 94111, USA",37.7955703,-122.3933208
1014,The Dead Pool,1988,550 El Camino Del Mar (Seacliff),"550 El Camino Del Mar, San Francisco, CA","550 El Camino Del Mar, San Francisco, CA 94121, USA",37.7875542,-122.4899412
1015,Edtv,1999,1138 Filbert Street,"1138 Filbert Street, San Francisco, CA","1138 Filbert St, San Francisco, CA 94109, USA",37.800566,-122.418279
1016,Bullitt,1968,"Candlestick Park Exit, Highway 101","Candlestick Park Exit, Highway 101, San Francisco, CA",NA,37.711446,-122.395447
1017,Sudden Impact,1983,"Bowles Franklin Galleries (765 Beach Street, Fisherman's Wharf)","765 Beach Street, Fisherman's Wharf, San Francisco, CA","765 Beach St, San Francisco, CA 94109, USA",37.8062684,-122.4214883
1018,Harold and Maude,1971,Golden Gate Park,"Golden Gate Park, San Francisco, CA","Golden Gate Park, San Francisco, CA, USA",37.7694208,-122.4862138
1019,Nine Months,1995,Pierce Street between Pacific & Green Streets,"Pierce Street and Pacific and Green Streets, San Francisco, CA","Pacific Ave & Pierce St, San Francisco, CA 94115, USA",37.7929391,-122.4380469
1020,Petulia,1968,"Japanese Tea Garden, Hagiwara Tea Garden Drive, Golden Gate Park","Japanese Tea Garden, Hagiwara Tea Garden Drive, Golden Gate Park, San Francisco, CA","Japanese Tea Garden, 75 Hagiwara Tea Garden Dr, San Francisco, CA 94102, USA",37.7700914,-122.470436
1021,Herbie Rides Again,1974,Sheraton Palace Hotel (639 Market Street),"639 Market Street, San Francisco, CA","639 Market St, San Francisco, CA 94104, USA",37.7887507,-122.4020904
1022,Tucker: The Man and His Dream,1988,City Hall,"City Hall, San Francisco, CA","1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102, USA",37.7792597,-122.4192646
1023,Mission (aka City of Bars),2001,Mission Dolores Park (Mission District),"Mission Dolores Park, San Francisco, CA","Mission Dolores Park, Dolores St & 19th St, San Francisco, CA 94114, USA",37.7596168,-122.4269038
1024,Junior,1994,Chinatown Gate,"Chinatown Gate, San Francisco, CA","Bush St & Grant Ave, San Francisco, CA 94108, USA",37.7906964,-122.4056031
1025,Bullitt,1968,Kennedy Hotel (226 Embarcadero at Howard Street),"226 Embarcadero at Howard Street, San Francisco, CA","226 The Embarcadero, San Francisco, CA 94105, USA",37.791817,-122.390872
1026,Experiment in Terror,1962,2632 Larkin Street at Lombard,"2632 Larkin Street at Lombard, San Francisco, CA","2632 Larkin St, San Francisco, CA 94109, USA",37.802317,-122.421059
1027,Dirty Harry,1971,"California Hall (625 Polk Street, Van Ness/Civic Center)","625 Polk Street, Van Ness and Civic Center, San Francisco, CA","625 Van Ness Ave, San Francisco, CA 94102, USA",37.7814677,-122.4206279
1028,Experiment in Terror,1962,Candlestick Park,"Candlestick Park, San Francisco, CA","650 Gilman Ave, San Francisco, CA 94124, USA",37.7157532,-122.383352
1029,The Times of Harvey Milk,1984,The Castro,"The Castro, San Francisco, CA","The Castro, San Francisco, CA, USA",37.7609082,-122.4350043
1030,Foul Play,1978,430 Vallejo Street (Telegraph Hill),"430 Vallejo Street, San Francisco, CA","430 Vallejo St, San Francisco, CA 94133, USA",37.7992743,-122.4046502
1031,Jade,1995,Hall of Justice (850 Bryant Street),"850 Bryant Street, San Francisco, CA","850 Bryant St, San Francisco, CA 94103, USA",37.7753904,-122.404191
1032,High Anxiety,1977,Hyatt Regency Hotel (5 Embarcadero Center),"5 Embarcadero Center, San Francisco, CA","Hyatt Regency San Francisco, 5 Embarcadero Center, San Francisco, CA 94111, USA",37.7942169,-122.3956663
1033,The Competition,1980,California Academy of Sciences (Golden Gate Park),"California Academy of Sciences, San Francisco, CA","55 Music Concourse Dr, San Francisco, CA 94118, USA",37.7698646,-122.4660947
1034,Time After Time,1979,Lombard & Divisadero Streets (Marina District),"Lombard and Divisadero Streets, San Francisco, CA","US-101 & Divisadero St, San Francisco, CA 94123, USA",37.7989556,-122.4426451
1035,Star Trek II : The Wrath of Khan,1982,Golden Gate Park,"Golden Gate Park, San Francisco, CA","Golden Gate Park, San Francisco, CA, USA",37.7694208,-122.4862138
1036,The Dead Pool,1988,23rd & Iowa Streets (Dogpatch),"23rd and Iowa Streets, San Francisco, CA","23rd St & Iowa St, San Francisco, CA 94107, USA",37.7551696,-122.3918784
1037,Edtv,1999,Mario's Bohemian Cigar Store (Washington Square),"Mario's Bohemian Cigar Store, San Francisco, CA","566 Columbus Ave, San Francisco, CA 94133, USA",37.800256,-122.409829
1038,Woman on the Run,1950,Former Hall of Justice (750 Kearny Street at Washington),"750 Kearny Street at Washington, San Francisco, CA","750 Kearny St, San Francisco, CA 94108, USA",37.7951675,-122.4041429
1039,Time After Time,1979,Justin Herman Plaza,"Justin Herman Plaza, San Francisco, CA","Market St & Steuart St, San Francisco, CA 94105, USA",37.7951195,-122.3952007
1040,Swingin' Along,1961,Powell Street,"Powell Street, San Francisco, CA","Powell St, San Francisco, CA, USA",37.796504,-122.4100932
1041,Dirty Harry,1971,"Washington Square, North Beach","Washington Square, North Beach, San Francisco, CA","Washington Square, Filbert St & Stockton St, San Francisco, CA 94133, USA",37.8008473,-122.4099791
1042,Joy Luck Club,1993,180 Manchester Street,"180 Manchester Street, San Francisco, CA","180 Manchester St, San Francisco, CA 94110, USA",37.7442089,-122.4143187
1043,The Dead Pool,1988,"The Cannery (281 Leavenworth Street, Fisherman's Wharf)","281 Leavenworth Street, Fisherman's Wharf, San Francisco, CA","281 Leavenworth St, San Francisco, CA 94102, USA",37.7837934,-122.4142764
1044,Point Blank,1967,Alcatraz Island,"Alcatraz Island, San Francisco, CA","San Francisco, CA 94133, USA",37.8269775,-122.4229555
1045,Bullitt,1968,Bayshore Blvd near Cesar Chavez (Bayview),"Bayshore Blvd near Cesar Chavez, San Francisco, CA","299 Bayshore Blvd, San Francisco, CA 94124, USA",37.7431596,-122.4048978
1046,The Maltese Falcon,1941,Golden Gate Bridge,"Golden Gate Bridge, San Francisco, CA","Golden Gate Bridge, San Francisco, CA, USA",37.8194509,-122.4784353
1047,Freebie and the Bean,1974,Alco Plaza,"Alco Plaza, San Francisco, CA",NA,NA,NA
1048,Birdman of Alcatraz,1962,Pier 43 1/2,"Pier 43 1 and 2, San Francisco, CA","Pier 43 1/2 First Floor, San Francisco, CA 94133, United States",37.809041,-122.414528
1049,Foul Play,1978,Sacramento & Hyde Streets (Nob Hill),"Sacramento and Hyde Streets, San Francisco, CA","Hyde St & Sacramento St, San Francisco, CA 94109, USA",37.791938,-122.4176076
1050,Maxie,1985,"Asian Art Museum (200 Larkin Street, Civic Center)","200 Larkin Street, Civic Center, San Francisco, CA","200 Larkin St, San Francisco, CA 94102, USA",37.7802559,-122.4160525
1051,Knife Fight,2013,City Hall,"City Hall, San Francisco, CA","1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102, USA",37.7792597,-122.4192646
1052,Vertigo,1958,Brocklebank Apartments (1000 Mason Street),"1000 Mason Street, San Francisco, CA","1000 Mason St, San Francisco, CA 94108, USA",37.7930742,-122.4107104
1053,Alexander's Ragtime Band,1938,Cliff House (1090 Point Lobos Avenue),"1090 Point Lobos Avenue, San Francisco, CA","1090 Point Lobos Ave, San Francisco, CA 94121, USA",37.7785675,-122.5139647
1054,Fearless,1993,Kohl Building (400 Montgomery Street),"400 Montgomery Street, San Francisco, CA","400 Montgomery St, San Francisco, CA 94111, USA",37.7931409,-122.4025849
1055,Vertigo,1958,Claude Lane at Bush Street,"Claude Lane at Bush Street, San Francisco, CA","Bush St & Claude Ln, San Francisco, CA 94108, USA",37.7907052,-122.4044457
1056,Foul Play,1978,Golden Gate & Steiner Streets (Hayes Valley),"Golden Gate and Steiner Streets, San Francisco, CA","Golden Gate Ave & Steiner St, San Francisco, CA 94115, USA",37.7793624,-122.43362
1057,Foul Play,1978,City Hall,"City Hall, San Francisco, CA","1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102, USA",37.7792597,-122.4192646
1058,The Dead Pool,1988,"KGO-TV ABC7 TV Studios (900 Front Street, Waterfront Historic District)","900 Front Street, Waterfront Historic District, San Francisco, CA",NA,37.800212,-122.3996028
1059,Alcatraz,2012,Broadway from Mason to Taylor,"Broadway from Mason to Taylor, San Francisco, CA","San Francisco, CA 94133, USA",37.7974115,-122.4120305
1060,Chan is Missing,1982,Golden Dragon Restaurant (816 Washington Street at Grant),"816 Washington Street at Grant, San Francisco, CA","816 Washington St, San Francisco, CA 94108, USA",37.795288,-122.406882
1061,Woman on the Run,1950,772 Commercial Street at Kearney,"772 Commercial Street at Kearney, San Francisco, CA","772 Commercial St, San Francisco, CA 94108, USA",37.7940098,-122.4058703
1062,The Enforcer,1976,24th Street Mini Park (Mission District),"24th Street Mini Park, San Francisco, CA","24th & York Mini Park, 2824 24th St, San Francisco, CA 94110, USA",37.7530458,-122.4085877
1063,Bullitt,1968,Mansell & University Streets (Visitacion  Valley),"Mansell and University Streets, San Francisco, CA","University St & San Francisco Bicycle Rte 705, San Francisco, CA 94134, USA",37.7190781,-122.4110143
1064,Family Plot,1976,Nob Hill,"Nob Hill, San Francisco, CA","Nob Hill, San Francisco, CA, USA",37.793014,-122.416113
1065,The Right Stuff,1983,Financial District,"Financial District, San Francisco, CA","Financial District, San Francisco, CA, USA",37.7945742,-122.3999445
1066,Freebie and the Bean,1974,Hyatt Regency Hotel (5 Embarcadero Center),"5 Embarcadero Center, San Francisco, CA","Hyatt Regency San Francisco, 5 Embarcadero Center, San Francisco, CA 94111, USA",37.7942169,-122.3956663
1067,Dirty Harry,1971,Mission Dolores Park (Mission District),"Mission Dolores Park, San Francisco, CA","Mission Dolores Park, Dolores St & 19th St, San Francisco, CA 94114, USA",37.7596168,-122.4269038
1068,Edtv,1999,19 Green Street (North Beach),"19 Green Street, San Francisco, CA","19 Green St, San Francisco, CA 94123, USA",37.8006344,-122.3995867
1069,The Conversation,1974,"Westin St. Francis Hotel (335 Powell Street, Union Square)","335 Powell Street, Union Square, San Francisco, CA","335 Powell St, San Francisco, CA 94102, USA",37.7878279,-122.4087315
1070,Magnum Force,1973,City Hall,"City Hall, San Francisco, CA","1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102, USA",37.7792597,-122.4192646
1071,Foul Play,1978,War Memorial Opera House (401 Van Ness Avenue),"401 Van Ness Avenue, San Francisco, CA","401 Van Ness Ave, San Francisco, CA 94102, USA",37.7795732,-122.42101
1072,Birdman of Alcatraz,1962,Alcatraz Island,"Alcatraz Island, San Francisco, CA","San Francisco, CA 94133, USA",37.8269775,-122.4229555
1073,The Enforcer,1976,Hall of Justice,"Hall of Justice, San Francisco, CA","850 Bryant St, San Francisco, CA 94103, USA",37.775471,-122.4037169
1074,The Game,1997,Bay Bridge,"Bay Bridge, San Francisco, CA","San Francisco – Oakland Bay Bridge, San Francisco, CA, USA",37.7982799,-122.3778182
1075,Love & Taxes,2014,20 Hill Street,"20 Hill Street, San Francisco, CA","20 Hill St, San Francisco, CA 94110, USA",37.756288,-122.422018
1076,San Francisco,1936,City Hall,"City Hall, San Francisco, CA","1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102, USA",37.7792597,-122.4192646
1077,A Jitney Elopement,1915,20th and Folsom Streets,"20th and Folsom Streets, San Francisco, CA","Folsom St & 20th St, San Francisco, CA 94110, USA",37.7589107,-122.4147198
1078,Time After Time,1979,"Ghirardelli Square (900 North Point Street, Fisherman's Wharf)","900 North Point Street, Fisherman's Wharf, San Francisco, CA","900 North Point St, San Francisco, CA 94109, USA",37.8053923,-122.4235114
1079,Petulia,1968,"Fairmont Hotel (950 Mason Street, Nob Hill)","950 Mason Street, Nob Hill, San Francisco, CA","950 Mason St, San Francisco, CA 94108, USA",37.7924958,-122.4100355
1080,Maxie,1985,"722 Steiner Street (Postcard Row, Alamo Square, Hayes Valley)","722 Steiner Street, San Francisco, CA","722 Steiner St, San Francisco, CA 94117, USA",37.7764711,-122.4327849
1081,Guess Who's Coming to Dinner,1967,San Francisco International Airport,"San Francisco International Airport, San Francisco, CA","San Francisco International Airport (SFO), San Francisco, CA 94128, USA",37.6213129,-122.3789554
1082,Invasion of the Body Snatchers,1978,"Department of Public Health (101 Grove Street at Polk, Civic Center)","101 Grove Street at Polk, Civic Center, San Francisco, CA","101 Grove St, San Francisco, CA 94102, USA",37.7781003,-122.4187379
1083,Junior,1994,2552 Hyde Street,"2552 Hyde Street, San Francisco, CA","2552 Hyde St, San Francisco, CA 94109, USA",37.804572,-122.4199325
1084,The Wedding Planner,2001,Pier 7 (The Embarcadero),"Pier 7, San Francisco, CA","Pier 7, San Francisco, CA, USA",37.7986725,-122.3968247
1085,Time After Time,1979,Chestnut & Divisadero Streets (Marina District),"Chestnut and Divisadero Streets, San Francisco, CA","Divisadero St & Chestnut St, San Francisco, CA 94123, USA",37.7999844,-122.44287
1086,Harold and Maude,1971,Conservatory of Flowers (Golden Gate Park),"Conservatory of Flowers, San Francisco, CA","Conservatory of Flowers, 100 John F Kennedy Dr, San Francisco, CA 94118, USA",37.772608,-122.4602482
1087,Innerspace,1987,Golden Gate Bridge,"Golden Gate Bridge, San Francisco, CA","Golden Gate Bridge, San Francisco, CA, USA",37.8194509,-122.4784353
1088,The Wedding Planner,2001,Montgomery Street at Union Street,"Montgomery Street at Union Street, San Francisco, CA","Union St & Montgomery St, San Francisco, CA 94133, USA",37.8010499,-122.4043889
1089,Foul Play,1978,California & Larkin Streets (Nob Hill),"California and Larkin Streets, San Francisco, CA","California St & Larkin St, San Francisco, CA 94109, USA",37.790797,-122.4190635
1090,Take the Money and Run,1969,Golden Gate Park,"Golden Gate Park, San Francisco, CA","Golden Gate Park, San Francisco, CA, USA",37.7694208,-122.4862138
1091,Time After Time,1979,Lombard & Fillmore Streets (Marina District),"Lombard and Fillmore Streets, San Francisco, CA","El Camino Real & Fillmore St, San Francisco, CA 94123, USA",37.7998947,-122.4360847
1092,Fearless,1993,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","666 Filbert Street, Washington Square, San Francisco, CA","Washington Square, Filbert St & Stockton St, San Francisco, CA 94133, USA",37.8008473,-122.4099791
1093,The Maltese Falcon,1941,"Burritt Alley (Off Bush Street, between Powell and Stockton Streets)","Burritt Alley, San Francisco, CA","Burritt St, San Francisco, CA 94108, USA",37.7901032,-122.407481
1094,Star Trek IV: The Voyage Home,1986,Intersection of Grant & Fresno Streets (North Beach),"Intersection of Grant and Fresno Streets, San Francisco, CA","Grant Ave & Fresno St, San Francisco, CA 94133, USA",37.7985059,-122.4071906
1095,Dirty Harry,1971,The Embarcadero,"The Embarcadero, San Francisco, CA","Embarcadero, San Francisco, CA, USA",37.7992627,-122.3976732
1096,Dr. Dolittle 2,2001,"West Chrissy Field (Presidio, Golden Gate National Recreation Area)","West Chrissy Field, San Francisco, CA","Long Ave, San Francisco, CA 94129, USA",37.80732,-122.4698869
1097,Freebie and the Bean,1974,TransAmerica Pyramid (600 Montgomery Street),"600 Montgomery Street, San Francisco, CA","Transamerica Pyramid, 600 Montgomery St, San Francisco, CA 94111, USA",37.7950185,-122.4027468
1098,Dirty Harry,1971,"Mt. Davidson Cross, Mt. Davidson","Mt. Davidson Cross, Mt. Davidson, San Francisco, CA","125 Dalewood Way, San Francisco, CA 94127, USA",37.738346,-122.4547746
1099,Time After Time,1979,2340 Francisco Street,"2340 Francisco Street, San Francisco, CA","2340 Francisco St, San Francisco, CA 94123, USA",37.8010709,-122.4438717
1100,The Matrix,1999,skyline/ exterior scenes,"skyline and  exterior scenes, San Francisco, CA",NA,NA,NA
1101,Bullitt,1968,Larkin & Francisco Streets (Russian Hill),"Larkin and Francisco Streets, San Francisco, CA","Larkin St & Francisco St, San Francisco, CA 94109, USA",37.8035608,-122.4218062
1102,The Game,1997,Washington Street & Waverly Place (Chinatown),"Washington Street and Waverly Place, San Francisco, CA","Washington St & Waverly Pl, San Francisco, CA 94108, USA",37.7950851,-122.4070174
1103,Milk,2008,City Hall,"City Hall, San Francisco, CA","1 Dr Carlton B Goodlett Pl, San Francisco, CA 94102, USA",37.7792597,-122.4192646
1104,Alcatraz,2012,Francisco St from Larkin to Polk,"Francisco St from Larkin to Polk, San Francisco, CA","134 Golden Gate Ave, San Francisco, CA 94102, USA",37.7822605,-122.4130207
1105,Joy Luck Club,1993,Horace Mann School (3351 23rd Street),"3351 23rd Street, San Francisco, CA","3351 23rd St, San Francisco, CA 94110, USA",37.7535332,-122.4199993
1106,The Lady from Shanghai,1947,Golden Gate Park,"Golden Gate Park, San Francisco, CA","Golden Gate Park, San Francisco, CA, USA",37.7694208,-122.4862138
1107,Knife Fight,2013,Green & Laguna Streets,"Green and Laguna Streets, San Francisco, CA","Green St & Laguna St, San Francisco, CA 94123, USA",37.7967926,-122.430393
1108,Dark Passage,1947,Golden Gate Bridge,"Golden Gate Bridge, San Francisco, CA","Golden Gate Bridge, San Francisco, CA, USA",37.8194509,-122.4784353
1109,The Dead Pool,1988,22nd Bet. Carolina & Rhode Island Streets (Potrero Hill),"22nd Bet. Carolina and Rhode Island Streets, San Francisco, CA",NA,37.7604929,-122.400869
1110,The Presidio,1988,Washington Street & Waverly Place (Chinatown),"Washington Street and Waverly Place, San Francisco, CA","Washington St & Waverly Pl, San Francisco, CA 94108, USA",37.7950851,-122.4070174
1111,Take the Money and Run,1969,Mission Street,"Mission Street, San Francisco, CA","Mission St, San Francisco, CA, USA",37.7385782,-122.423994
1112,Foul Play,1978,"Asian Art Museum (200 Larkin Street, Civic Center)","200 Larkin Street, Civic Center, San Francisco, CA","200 Larkin St, San Francisco, CA 94102, USA",37.7802559,-122.4160525
1113,Edtv,1999,Moose's Restaurant (1652 Stockton),"1652 Stockton, San Francisco, CA","1652 Stockton St, San Francisco, CA 94133, USA",37.8010961,-122.409118
1114,I Remember Mama,1948,"Fairmont Hotel (950 Mason Street, Nob Hill)","950 Mason Street, Nob Hill, San Francisco, CA","950 Mason St, San Francisco, CA 94108, USA",37.7924958,-122.4100355
1115,Time After Time,1979,Broadway at Osgood Street (North Beach),"Broadway at Osgood Street, San Francisco, CA","San Francisco Bicycle Rte 10 & Osgood Pl, San Francisco, CA 94133, USA",37.7983316,-122.4030955
1116,The Conversation,1974,"Neiman Marcus (150 Stockton Street, Union Square)","150 Stockton Street, Union Square, San Francisco, CA","150 Stockton St, San Francisco, CA 94108, USA",37.7873133,-122.4069749
1117,Vertigo,1958,"Mission Dolores (3321 16th Street, Mission District)","3321 16th Street, Mission District, San Francisco, CA","3321 16th St, San Francisco, CA 94114, USA",37.7643849,-122.4275054
1118,Fearless,1993,400 Montgomery Street,"400 Montgomery Street, San Francisco, CA","400 Montgomery St, San Francisco, CA 94111, USA",37.7931409,-122.4025849
1119,Invasion of the Body Snatchers,1978,"Postcard Row (Alamo Square, Hayes Valley)","Postcard Row, San Francisco, CA","Steiner St, San Francisco, CA 94117, USA",37.7762593,-122.432758
1120,The Towering Inferno,1974,"Hyatt Regency Hotel (5 Embarcadero Center, Financial District)","5 Embarcadero Center, Financial District, San Francisco, CA","Hyatt Regency San Francisco, 5 Embarcadero Center, San Francisco, CA 94111, USA",37.7942169,-122.3956663
1121,The Conversation,1974,"American Roofing Co. Building (297 Kansas Street, Potrero Hill)","297 Kansas Street, Potrero Hill, San Francisco, CA","297 Kansas St, San Francisco, CA 94103, USA",37.7663064,-122.4035011
1122,Vertigo,1958,1007 Gough Street,"1007 Gough Street, San Francisco, CA","1007 Gough St, San Francisco, CA 94109, USA",37.7825251,-122.4243073
1123,A View to a Kill,1985,Potrero Hill,"Potrero Hill, San Francisco, CA","Potrero Hill, San Francisco, CA, USA",37.7604929,-122.400869
1124,Joy Luck Club,1993,375 Laguna Honda Blvd.,"375 Laguna Honda Blvd., San Francisco, CA","375 Laguna Honda Blvd, San Francisco, CA 94116, USA",37.7488896,-122.457074
1125,Sudden Impact,1983,"Pier 38-40, The Embarcadero","Pier 38-40, The Embarcadero, San Francisco, CA","Pier 38, 801 The Embarcadero, San Francisco, CA 94111, USA",37.7825149,-122.3879436
1126,Foul Play,1978,Flood Building (870 Market Street),"870 Market Street, San Francisco, CA","870 Market St, San Francisco, CA 94102, USA",37.7850854,-122.407624
1127,Invasion of the Body Snatchers,1978,720 Steiner Street (Hayes Valley),"720 Steiner Street, San Francisco, CA","720 Steiner St, San Francisco, CA 94117, USA",37.7763897,-122.4327983
1128,The Dead Pool,1988,"San Francisco National Military Cemetery (Lincoln Blvd., The Presidio, Golden Gate National Recreation Center)","San Francisco National Military Cemetery, San Francisco, CA","1 Lincoln Blvd, San Francisco, CA 94129, USA",37.7998167,-122.4644702
1129,The Dead Pool,1988,Fremont Street Exit of Bay Bridge,"Fremont Street Exit of Bay Bridge, San Francisco, CA","San Francisco – Oakland Bay Bridge, San Francisco, CA, USA",37.7982799,-122.3778182
